"BIOME" "ECO_NAME" "ECO_ID" "Lon" "Lat"
"1" 4 "New England-Acadian forests" 50410 -67.75 47.25
"2" 4 "Eastern forest-boreal transition" 50406 -80.75 48.25
"3" 4 "East European forest steppe" 80419 30.25 48.25
"4" 6 "Eastern Canadian forests" 50605 -65.25 48.75
"5" 8 "Selenge-Orkhon forest steppe" 80816 102.75 48.75
"6" 4 "Western Great Lakes forests" 50416 -95.25 49.75
"7" 4 "Ussuri broadleaf and mixed forests" 80443 137.25 49.75
"8" 6 "Central Canadian Shield forests" 50602 -76.25 50.25
"9" 6 "Eastern Canadian forests" 50605 -62.75 50.75
"10" 6 "Trans-Baikal conifer forests" 80609 112.75 51.25
"11" 6 "Mid-Continental Canadian forests" 50608 -101.75 51.75
"12" 5 "Da Hinggan-Dzhagdy Mountains conifer forests" 80505 120.25 51.75
"13" 6 "Midwestern Canadian Shield forests" 50609 -95.75 52.25
"14" 4 "Manchurian mixed forests" 80426 126.25 52.25
"15" 6 "Central Canadian Shield forests" 50602 -90.25 52.75
"16" 6 "Okhotsk-Manchurian taiga" 80606 133.75 52.75
"17" 6 "Southern Hudson Bay taiga" 50616 -84.75 53.25
"18" 8 "Kazakh forest steppe" 80809 82.25 53.25
"19" 6 "Okhotsk-Manchurian taiga" 80606 139.25 53.25
"20" 6 "Southern Hudson Bay taiga" 50616 -82.25 53.75
"21" 4 "Sarmatic mixed forests" 80436 34.25 53.75
"22" 8 "South Siberian forest steppe" 80817 90.25 53.75
"23" 6 "Eastern Canadian Shield taiga" 50606 -68.25 54.25
"24" 4 "East European forest steppe" 80419 49.75 54.25
"25" 6 "East Siberian taiga" 80601 105.75 54.25
"26" 8 "Canadian Aspen forests and parklands" 50802 -113.25 54.75
"27" 8 "Kazakh forest steppe" 80809 68.25 54.75
"28" 6 "East Siberian taiga" 80601 124.75 54.75
"29" 6 "Midwestern Canadian Shield forests" 50609 -96.75 55.25
"30" 4 "Sarmatic mixed forests" 80436 36.25 55.25
"31" 6 "East Siberian taiga" 80601 92.25 55.25
"32" 6 "Eastern Canadian Shield taiga" 50606 -65.25 55.75
"33" 4 "Western Siberian hemiboreal forests" 80444 62.75 55.75
"34" 6 "East Siberian taiga" 80601 118.75 55.75
"35" 6 "Midwestern Canadian Shield forests" 50609 -104.75 56.25
"36" 4 "Sarmatic mixed forests" 80436 33.75 56.25
"37" 8 "South Siberian forest steppe" 80817 89.75 56.25
"38" 6 "Kamchatka-Kurile meadows and sparse forests" 80603 163.25 56.25
"39" 6 "Eastern Canadian Shield taiga" 50606 -69.75 56.75
"40" 4 "Sarmatic mixed forests" 80436 58.25 56.75
"41" 6 "Mid-Continental Canadian forests" 50608 -113.25 57.25
"42" 4 "Sarmatic mixed forests" 80436 31.25 57.25
"43" 6 "West Siberian taiga" 80611 87.25 57.25
"44" 6 "Kamchatka-Kurile meadows and sparse forests" 80603 160.75 57.25
"45" 6 "Eastern Canadian Shield taiga" 50606 -69.25 57.75
