month,mean,min,max,s
apr,40.22352001634358,33.05283724944836,50.24003152828351,Control
aug,77.36049604219876,60.84076276395389,93.61822959226069,Control
dec,48.02353386716267,30.722380379815885,58.216293419616115,Control
feb,37.04861540150174,29.304864285633958,45.48064709047281,Control
jan,40.95241278532269,33.60088295934148,49.65109787974456,Control
jul,74.52165085394876,67.47152152691926,80.52161913763955,Control
jun,63.62227093728033,53.124286085805565,72.88532032247599,Control
mar,36.88749435988439,26.153008849385873,44.371908428552665,Control
may,48.05585129770898,38.54333799885084,53.76386413753225,Control
nov,58.314491215089205,46.43680123986705,67.08692259083948,Control
oct,64.268385049632,47.607201346788,75.53704935404076,Control
sep,69.41001324387872,56.622588539472346,79.84049860502682,Control
apr,42.22868000498637,32.239151312021505,48.1915021774669,SSP1-RCP2.6
aug,81.08906792218816,67.17223989887125,91.14318529778465,SSP1-RCP2.6
dec,47.860233692723156,37.546967411586074,58.70002950502236,SSP1-RCP2.6
feb,42.061007470003105,32.88403878846644,52.36889014450013,SSP1-RCP2.6
jan,46.189352445022315,29.9250321638457,54.86310416178786,SSP1-RCP2.6
jul,81.42365581829274,74.82176876384736,90.71150923504051,SSP1-RCP2.6
jun,74.98203036526316,67.47621241973118,81.69573699634371,SSP1-RCP2.6
mar,40.80986868900783,26.048799179552645,47.31566094158462,SSP1-RCP2.6
may,59.05490528140066,47.91982033586667,68.89347432178072,SSP1-RCP2.6
nov,60.11081831819477,47.10544468728158,70.38760436713618,SSP1-RCP2.6
oct,66.83320687171354,56.85858170617404,83.18377004117659,SSP1-RCP2.6
sep,68.8323869972943,61.326653011152004,75.5805419683406,SSP1-RCP2.6
apr,55.229940754174486,48.47771794659002,60.55748950532206,SSP3-RCP7.0
aug,87.56318916185413,78.46742734402119,103.53228242699214,SSP3-RCP7.0
dec,61.131215050841725,47.78083273831614,77.67529403995636,SSP3-RCP7.0
feb,49.633349696068905,38.72664943749043,59.437020863933185,SSP3-RCP7.0
jan,56.99276272398012,41.62407630769007,66.26835355652958,SSP3-RCP7.0
jul,85.24737434141925,68.29983201636043,94.91936737340214,SSP3-RCP7.0
jun,83.25789406055502,68.87165490973722,95.50883178796798,SSP3-RCP7.0
mar,50.001234050051814,37.247542559899884,59.427007103143595,SSP3-RCP7.0
may,66.13977952292771,56.60211185538992,85.172784259393,SSP3-RCP7.0
nov,68.2978754053807,49.18062210552386,86.18644445971174,SSP3-RCP7.0
oct,77.12364614525698,68.37320324978093,93.36121444447386,SSP3-RCP7.0
sep,74.81663366098675,65.58520932341489,81.54486910917726,SSP3-RCP7.0
apr,56.71212177734703,47.80028678879593,65.55677609007326,SSP5-RCP8.5
aug,84.61393239441142,75.14492986664675,93.67729124377222,SSP5-RCP8.5
dec,66.16885732033468,44.693373549773554,80.72338963397894,SSP5-RCP8.5
feb,51.04758751855246,36.091149002052106,67.37966647039437,SSP5-RCP8.5
jan,59.53447095506272,47.71832918396723,72.93253835970614,SSP5-RCP8.5
jul,91.76919438201622,80.0421596003066,105.65538293294706,SSP5-RCP8.5
jun,83.63140302839507,74.88762380483051,99.6000758804493,SSP5-RCP8.5
mar,51.246243089447105,37.090161600824594,66.22398062024281,SSP5-RCP8.5
may,75.54818119123138,66.9157429388796,85.24642737918637,SSP5-RCP8.5
nov,71.0481002761273,58.150213942581885,89.02558829266376,SSP5-RCP8.5
oct,74.22113679877579,62.31318048452926,86.81936887130436,SSP5-RCP8.5
sep,77.8641472062961,62.97299424243838,94.10183276369574,SSP5-RCP8.5
